mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample
105.0364051,105.036377,105.0364227,1027.58,1022.53,1032.72,54542617.45,49611434.67,20304136,78,1
105.0364643,105.0364456,105.0364761,1053.84,1048.53,1060.26,46166980.19,40768244.58,10154047,38,1
105.0364665,105.0364227,105.0364914,929.382,924.285,934.456,80776911.14,78068892.89,23050128,108,1
105.0364777,105.0364456,105.0365219,768.391,762.046,773.557,45555595.24,43802208.88,10627420,166,1
105.0364786,105.0364685,105.0364838,1081.21,1075.94,1087.82,66258895.56,60580857.16,12653653,48,1
105.0364794,105.0364532,105.0364838,963.945,958.834,967.796,71549909,68822911,23292308,109,1
105.0364811,105.0364609,105.0364914,997.715,991.021,1001.72,55911734.17,50780006.19,15287307,58,1
105.0364819,105.0364685,105.036499,1110.08,1104.79,1115.38,70156256.39,65031504.11,14021971,53,1
105.0364864,105.0364761,105.036499,1215.17,1208.65,1221.84,84870352.63,78629242.09,15309118,58,1
105.036491,105.0364838,105.0365067,1306.37,1299.72,1314.28,72763160.22,65930743.77,8782848,33,1
105.0364965,105.0364838,105.0365143,1141.75,1136.58,1148.32,77201840.84,71590715.35,14304699,54,1
105.036507,105.0364838,105.0366058,1176.91,1171.72,1183.47,90934639.6,85318734.62,16891096,65,1
105.0365079,105.0364761,105.0365753,1257.47,1252.16,1263.98,88355023.03,82705661.6,13043696,50,1
105.036509,105.0364838,105.0365601,1362.3,1356.9,1370.16,65628042.62,59353810.19,8757360,33,1
105.047438,105.0473633,105.0476074,1358.21,1354.26,1360.83,43670.38868,43665.13268,18175.24023,18174,1
105.0475963,105.0474854,105.0477448,1053.84,1051.15,1057.64,150571.5087,150566.3167,39061.57422,39061,1
105.054496,105.0544739,105.0545044,72.296,66.5575,77.5303,11126536.74,11100538.17,2298509.5,1352,1
105.0545013,105.0544815,105.0545197,350.905,345.011,357.011,263035.7629,234603.3888,40751.92578,23,1
105.0545023,105.0544891,105.0545197,144.444,138.596,150.275,510607.9871,482936.179,52510.26953,30,1
106.0359602,106.0358963,106.036087,886.907,881.791,892.006,2442623.489,2429583.892,887022.6875,185,1
106.0359881,106.0358658,106.0360794,832.796,827.742,837.836,5258457.353,5258448.521,985532.4375,985531,1
106.0360166,106.0359268,106.0360489,1027.58,1023.83,1031.41,2321249.881,2287775.17,1100059.625,95,1
106.036038,106.036026,106.0360565,1081.21,1077.38,1087.82,3343957.091,3343946.651,654065.5,654064,1
106.036039,106.0358963,106.0361176,1792.76,1786.37,1798.07,1434061.007,1113395.539,196333.8125,19,1
106.0360438,106.0360336,106.0360641,1215.17,1208.65,1221.84,4356920.517,4154320.237,752663.375,25,1
106.0360468,106.0360413,106.0360641,1306.37,1299.72,1314.28,3822377.516,3600582.136,452686.3438,15,1
106.0360469,106.0360031,106.036087,767.138,762.046,772.271,2164744.73,2164734.505,483530.625,483530,1
106.0360631,106.0360336,106.0361557,1176.91,1171.72,1183.47,4655811.259,4599666.848,844235,52,1
106.0360637,106.0360336,106.0361252,1257.47,1252.16,1263.98,4698242.309,4514851.517,701879,23,1
106.0360656,106.0360413,106.0361176,1363.61,1356.9,1368.86,3404313.622,3218750.689,497029.9688,16,1
106.0397138,106.0396194,106.039856,886.907,881.791,892.006,1860887.075,1799503.781,578149.4375,36,1
106.0397493,106.03965,106.0398254,831.525,829.037,836.563,2412645.441,2412639.169,737836.1875,737835,1
106.0397723,106.0397186,106.0397797,1053.84,1048.53,1058.95,1737333.291,1535507.9,340719.5,20,1
106.0397916,106.039772,106.0398331,1215.17,1209.96,1221.84,3117145.5,2881580.821,547867.8125,14,1
106.0397924,106.039772,106.0398407,1110.08,1104.79,1115.38,2438705.016,2245697.841,485080.6563,18,1
106.0397938,106.039772,106.0398254,929.382,924.285,934.456,2731440.843,2524091.744,858906.75,19,1
106.0397974,106.039711,106.0398254,996.328,985.875,1006.98,2372102.014,2175256.047,476196.5313,41,1
106.0398001,106.0397797,106.0398178,1141.75,1136.58,1148.32,2576717.35,2271904.506,435880.9063,13,1
106.0398037,106.0397644,106.0399094,1176.91,1170.45,1183.47,3259391.15,3046953.804,632261.5625,18,1
106.0398038,106.0397949,106.0398178,1081.21,1075.94,1087.82,2283548.737,2122556.476,385696.5938,20,1
106.0398073,106.0397873,106.0398788,963.945,958.834,969.095,2545951.674,2369192.216,704406.1875,16,1
106.0398118,106.0397186,106.0398788,768.391,762.046,773.557,1662594.38,1587282.269,380154.6563,28,1
106.0412686,106.0411835,106.0413055,191.402,184.744,204.302,1755522.272,1751075.958,141163.0156,259,1
106.0412796,106.0412598,106.0412979,183.452,182.154,187.427,805075.5225,803676.9652,150028.5,276,1
106.0412859,106.041275,106.0413208,176.703,171.01,182.154,996839.3587,994179.2088,117903.3828,216,1
106.0413474,106.0413437,106.0413513,239.371,236.253,243.956,6982.145324,6975.982924,1232.387939,1231,1
106.0427149,106.0426559,106.0427628,1176.91,1173.02,1179.48,94337.40884,94332.24084,31612.41602,31611,1
106.0578551,106.0578308,106.057869,72.296,66.5575,77.5303,465825.2117,459467.7126,91145.05469,95,1
106.9497878,106.9496994,106.9498825,350.905,346.452,354.024,8326.522995,8320.465395,1947.717041,1947,1
106.9618999,106.9618912,106.9619141,349.421,342.034,357.011,2830815.688,2823656.583,411755.6875,588,1
107.0156803,107.0156021,107.0158005,886.907,880.449,892.006,2262233.104,2262220.262,618474.25,618473,1
107.0157164,107.015625,107.0157623,1790.22,1785.08,1798.07,7578134.656,7543710.555,768772.875,260,1
107.0157478,107.0157089,107.01577,1053.84,1049.84,1058.95,660270.7596,642364.6388,198837.875,43,1
107.0157501,107.0157318,107.0157623,1215.17,1209.96,1220.38,568603.1849,489107.9124,102632.2656,12,1
107.0157545,107.0157471,107.01577,1305.08,1299.72,1311.64,507180.3317,447055.8731,66209.82813,17,1
107.0157567,107.0157166,107.0157928,768.391,762.046,773.557,2258375.56,2181497.062,466636.3125,26,1
107.0157608,107.0157318,107.01577,1110.08,1103.48,1115.38,766132.1472,661482.0483,132473.8281,27,1
107.0157647,107.0157394,107.0158157,1082.66,1075.94,1087.82,684107.9321,650027.848,129462.4844,13,1
